(Vector3;level)|(Vector3;level)
((0.4, 1.0, -0.7);0)|(;)
((0.4, 1.0, -0.7);1)|((0.4, 1.0, -0.7);0)
((0.4, 1.0, -0.7);2)|((0.4, 1.0, -0.7);1)
((0.4, 1.0, -0.7);3)|((0.4, 1.0, -0.7);2)
((0.4, 1.0, -0.7);4)|((0.4, 1.0, -0.7);3)
((0.4, 1.0, -0.7);5)|((0.4, 1.0, -0.7);4)
((0.4, 1.0, -0.7);6)|((0.4, 1.0, -0.7);5)
((0.4, 1.0, -0.7);7)|((0.4, 1.0, -0.7);6)
((0.4, 1.0, -0.7);8)|((0.4, 1.0, -0.7);7)
((0.4, 1.0, -0.7);9)|((0.4, 1.0, -0.7);8)
((0.4, 1.0, -0.7);10)|((0.4, 1.0, -0.7);9)
((0.4, 1.0, -0.7);11)|((0.4, 1.0, -0.7);10)
((0.4, 1.0, -0.7);12)|((0.4, 1.0, -0.7);11)
((0.4, 1.0, -0.7);13)|((0.4, 1.0, -0.7);12)
((0.4, 1.0, -0.7);14)|((0.4, 1.0, -0.7);13)
((0.4, 1.0, -0.7);15)|((0.4, 1.0, -0.7);14)
((0.4, 1.0, -0.7);16)|((0.4, 1.0, -0.7);15)
((0.4, 1.0, -0.7);17)|((0.4, 1.0, -0.7);16)
((0.4, 1.0, -0.7);18)|((0.4, 1.0, -0.7);17)
((0.4, 1.0, -0.7);19)|((0.4, 1.0, -0.7);18)
((0.4, 1.0, -0.7);20)|((0.4, 1.0, -0.7);19)
((0.4, 1.0, -0.7);21)|((0.4, 1.0, -0.7);20)
((0.4, 1.0, -0.7);22)|((0.4, 1.0, -0.7);21)
((0.4, 1.0, -0.7);23)|((0.4, 1.0, -0.7);22)
((0.4, 1.0, -0.7);24)|((0.4, 1.0, -0.7);23)
((0.4, 1.0, -0.7);25)|((0.4, 1.0, -0.7);24)
((0.4, 1.0, -0.7);26)|((0.4, 1.0, -0.7);25)
((0.4, 1.0, -0.7);27)|((0.4, 1.0, -0.7);26)
((0.4, 1.0, -0.7);28)|((0.4, 1.0, -0.7);27)
((0.4, 1.0, -0.7);29)|((0.4, 1.0, -0.7);28)
((0.4, 1.0, -0.7);30)|((0.4, 1.0, -0.7);29)
((0.4, 1.0, -0.7);31)|((0.4, 1.0, -0.7);30)
((0.4, 1.0, -0.7);32)|((0.4, 1.0, -0.7);31)
((0.4, 1.0, -0.7);33)|((0.4, 1.0, -0.7);32)
((0.4, 1.0, -0.7);34)|((0.4, 1.0, -0.7);33)
((0.4, 1.0, -0.7);35)|((0.4, 1.0, -0.7);34)
((0.4, 1.0, -0.7);36)|((0.4, 1.0, -0.7);35)
((0.4, 1.0, -0.7);37)|((0.4, 1.0, -0.7);36)
((0.4, 1.0, -0.7);38)|((0.4, 1.0, -0.7);37)
((0.4, 1.0, -0.7);39)|((0.4, 1.0, -0.7);38)
((0.4, 1.0, -0.7);40)|((0.4, 1.0, -0.7);39)
((0.4, 1.0, -0.7);41)|((0.4, 1.0, -0.7);40)
((0.4, 1.0, -0.7);42)|((0.4, 1.0, -0.7);41)
((0.4, 1.0, -0.7);43)|((0.4, 1.0, -0.7);42)
((0.4, 1.0, -0.7);44)|((0.4, 1.0, -0.7);43)
((0.4, 1.0, -0.7);45)|((0.4, 1.0, -0.7);44)
((0.4, 1.0, -0.7);46)|((0.4, 1.0, -0.7);45)
((0.4, 1.0, -0.7);47)|((0.4, 1.0, -0.7);46)
((0.4, 1.0, -0.7);48)|((0.4, 1.0, -0.7);47)
((0.4, 1.0, -0.7);49)|((0.4, 1.0, -0.7);48)
((0.4, 1.0, -0.7);50)|((0.4, 1.0, -0.7);49)
