Text is being written
100 search attempts were made, on average the following data:
Success,RRTs,Nodes,NodesRej,RRTs2,Nodes2,NodesRej2,Time,RRTsF,NodesF,NodesRejF,RRTs2F,Nodes2F,NodesRej2F,TimeF,
0.82,2.34146341463415,6326.17073170732,9.39024390243902,4.75609756097561,18489.2682926829,16.6463414634146,379.371807220732,5,20039,34,0,0,0,108.582432988889
--------------------------
t1,n1,r1,t2,n2,r2,time,success
1,252,0,5,20033,28,00:05:53.5215490,1
5,20031,26,0,0,0,00:01:34.3963673,0
3,8193,9,5,20019,14,00:05:42.0453902,1
3,8488,8,5,20025,20,00:07:35.0948587,1
1,968,0,5,20020,15,00:07:32.3300218,1
1,593,1,5,20029,24,00:05:25.1569929,1
4,12509,12,5,20025,20,00:07:59.1913017,1
1,2535,1,5,20021,16,00:08:18.5189010,1
1,3953,8,4,14694,16,00:05:00.4208588,1
5,20025,20,0,0,0,00:01:53.9190854,0
2,4213,6,5,20021,16,00:04:54.8297074,1
2,4339,10,5,20019,14,00:05:09.2889843,1
4,12770,25,5,16574,15,00:07:06.5669275,1
5,20056,51,0,0,0,00:01:32.8149051,0
5,20040,35,0,0,0,00:01:57.7833042,0
4,12893,17,5,20025,20,00:05:34.6706257,1
2,6428,10,5,20025,20,00:10:16.8273910,1
3,8340,18,5,20017,12,00:05:15.1010237,1
3,10651,15,5,20021,16,00:06:48.7112310,1
2,4992,9,5,20020,15,00:10:37.3463568,1
4,12241,16,5,20030,25,00:08:34.3688256,1
5,20036,31,0,0,0,00:01:47.3563720,0
4,12309,28,3,8577,6,00:04:50.8928113,1
1,2717,2,5,20018,13,00:05:05.6033447,1
4,12603,18,5,20024,19,00:07:21.1091308,1
3,8687,17,5,20022,17,00:06:39.7052980,1
5,20037,32,0,0,0,00:01:34.4573384,0
1,116,0,5,20026,21,00:05:51.8179033,1
1,2175,3,5,20023,18,00:07:37.7519698,1
5,20030,25,0,0,0,00:01:42.1693911,0
4,12287,27,5,20024,19,00:05:59.2194139,1
2,4230,13,5,20019,14,00:06:07.2783235,1
5,20040,35,0,0,0,00:01:42.0426497,0
1,163,0,5,20026,21,00:05:09.8768462,1
3,10422,20,4,12141,10,00:04:29.7157852,1
4,12571,18,5,20015,10,00:08:19.8001409,1
3,8477,16,5,20026,21,00:08:21.8047129,1
5,20034,29,0,0,0,00:01:27.1106723,0
1,205,0,5,20022,17,00:04:30.9383138,1
1,3010,4,5,20021,16,00:04:43.6009928,1
5,20043,38,0,0,0,00:01:52.2375058,0
3,8463,18,5,20021,16,00:05:32.5357464,1
5,19706,21,5,20021,16,00:08:30.9806534,1
3,10045,16,5,20032,27,00:06:49.4583206,1
2,4999,6,5,20021,16,00:05:16.7151030,1
1,399,0,5,20022,17,00:05:40.6537289,1
4,12434,27,5,20017,12,00:05:40.5477658,1
4,12350,25,5,20010,5,00:07:26.3670482,1
2,4649,5,5,20024,19,00:06:25.8739421,1
3,8299,13,5,20031,26,00:06:48.9299606,1
3,9763,11,5,20021,16,00:06:37.7737254,1
2,4834,6,4,12388,11,00:06:46.8852080,1
2,4651,5,5,20025,20,00:08:23.1940130,1
5,16831,13,5,20016,11,00:09:39.7343919,1
1,198,0,5,20018,13,00:04:19.5910515,1
3,8115,5,2,5658,3,00:04:34.3700432,1
5,20039,34,0,0,0,00:01:57.8668720,0
1,1303,0,5,20039,34,00:06:24.3395768,1
1,2906,8,5,20015,10,00:05:46.5220061,1
2,4344,7,3,10895,10,00:03:27.4686107,1
3,8462,12,5,20029,24,00:06:07.5330845,1
5,20043,38,0,0,0,00:02:19.6868252,0
2,6530,9,5,20015,10,00:06:15.8336457,1
2,4340,3,5,20031,26,00:05:09.7286994,1
4,12382,20,5,20020,15,00:06:55.3154788,1
1,224,0,5,20021,16,00:05:45.3466626,1
2,4408,7,5,20012,7,00:05:58.8074622,1
1,201,0,5,20022,17,00:05:52.8487528,1
2,5575,8,3,8137,7,00:03:45.8764827,1
5,20050,45,0,0,0,00:02:00.9711020,0
2,4178,12,5,20023,18,00:07:32.1109192,1
5,20034,29,0,0,0,00:02:15.4303206,0
2,4237,8,5,20033,28,00:07:05.0813800,1
3,9835,12,5,20024,19,00:08:53.9997077,1
3,8234,10,5,20026,21,00:06:04.4898185,1
5,20049,44,0,0,0,00:01:40.8890200,0
1,570,1,5,20029,24,00:05:45.4694456,1
2,4216,5,5,20028,23,00:07:20.6644438,1
1,2576,2,5,20032,27,00:04:34.1254037,1
2,4081,3,5,20032,27,00:06:06.2376484,1
5,20032,27,0,0,0,00:02:02.2827352,0
5,20044,39,0,0,0,00:01:30.9000983,0
3,9131,14,4,12285,12,00:06:12.1053248,1
5,20039,34,0,0,0,00:01:42.1692292,0
2,6639,7,5,20025,20,00:05:10.8699922,1
1,2998,6,2,4365,3,00:01:55.4231940,1
2,4438,6,3,8052,3,00:02:40.2359406,1
2,4365,7,5,20022,17,00:08:10.1952578,1
2,4315,8,5,20021,16,00:06:20.4697007,1
3,8237,11,5,16122,12,00:06:02.6117591,1
3,8156,14,5,20024,19,00:06:10.9899204,1
1,1187,2,5,20027,22,00:04:19.0307393,1
3,9867,10,5,20032,27,00:06:50.2405695,1
2,4315,6,5,16179,10,00:05:14.4050504,1
2,5682,8,5,20012,7,00:08:56.2102607,1
4,12418,22,5,20026,21,00:06:26.4552612,1
1,73,0,3,8469,3,00:03:13.5648719,1
2,4061,2,5,20027,22,00:06:00.7773750,1
3,8220,10,5,20021,16,00:10:18.7179131,1
2,5976,8,5,20021,16,00:08:07.6691960,1
