Text is being written
100 search attempts were made, on average the following data:
Success,RRTs,Nodes,NodesRej,NodesWasted,Time,RRTsF,NodesF,NodesRejF,NodesWatedF,TimeF
0,NaN,NaN,NaN,NaN,NaN,5,20036.12,31.12,0,134.541054782
--------------------------
t,n,r,time,success
5,20038,33,00:02:29.7476932,0
5,20032,27,00:02:17.5845690,0
5,20039,34,00:02:53.3279520,0
5,20041,36,00:02:05.1003670,0
5,20037,32,00:01:55.8019112,0
5,20042,37,00:02:40.9310586,0
5,20034,29,00:02:09.3725960,0
5,20035,30,00:02:38.0263467,0
5,20033,28,00:02:05.9810647,0
5,20032,27,00:02:17.1934655,0
5,20033,28,00:01:48.5765492,0
5,20030,25,00:02:02.7675175,0
5,20028,23,00:01:56.9865916,0
5,20034,29,00:02:21.8307195,0
5,20038,33,00:02:19.7231733,0
5,20027,22,00:02:42.2259233,0
5,20030,25,00:02:31.5876291,0
5,20037,32,00:02:32.1088380,0
5,20033,28,00:02:56.2948190,0
5,20046,41,00:02:16.5832155,0
5,20030,25,00:02:20.8165755,0
5,20029,24,00:02:41.9812345,0
5,20029,24,00:02:42.1944049,0
5,20030,25,00:02:12.4547424,0
5,20033,28,00:02:06.2827479,0
5,20028,23,00:02:24.2259992,0
5,20037,32,00:02:13.9916464,0
5,20036,31,00:02:30.7940810,0
5,20041,36,00:02:31.3412541,0
5,20036,31,00:02:33.6250597,0
5,20044,39,00:02:14.6539367,0
5,20044,39,00:03:07.5087716,0
5,20036,31,00:02:53.0561695,0
5,20040,35,00:02:04.4216078,0
5,20040,35,00:02:11.2385223,0
5,20023,18,00:02:13.9479810,0
5,20035,30,00:01:51.2085288,0
5,20033,28,00:02:16.4533566,0
5,20043,38,00:02:17.4548879,0
5,20044,39,00:04:14.5364773,0
5,20037,32,00:02:03.8675226,0
5,20041,36,00:02:58.0990365,0
5,20044,39,00:03:02.3275925,0
5,20026,21,00:01:56.5108484,0
5,20039,34,00:02:46.1738336,0
5,20044,39,00:02:07.0956243,0
5,20041,36,00:02:15.9797337,0
5,20033,28,00:02:40.9349345,0
5,20031,26,00:02:56.7906033,0
5,20046,41,00:02:34.6380200,0
5,20027,22,00:02:50.0499655,0
5,20039,34,00:02:06.7346731,0
5,20042,37,00:03:01.9743395,0
5,20039,34,00:02:07.2014717,0
5,20035,30,00:02:46.1870998,0
5,20028,23,00:02:47.1045994,0
5,20035,30,00:01:52.9503806,0
5,20040,35,00:02:27.6089017,0
5,20040,35,00:02:00.6273668,0
5,20038,33,00:02:01.4392058,0
5,20041,36,00:02:34.1881598,0
5,20036,31,00:01:46.5594905,0
5,20040,35,00:02:14.5798768,0
5,20040,35,00:01:53.2785033,0
5,20036,31,00:01:32.7850424,0
5,20035,30,00:01:34.8134110,0
5,20034,29,00:02:13.5406641,0
5,20052,47,00:02:22.3540435,0
5,20040,35,00:01:54.8236641,0
5,20038,33,00:01:31.7992658,0
5,20027,22,00:01:54.3214663,0
5,20034,29,00:01:56.5171615,0
5,20049,44,00:01:38.0115370,0
5,20036,31,00:01:39.4203670,0
5,20045,40,00:01:20.1547031,0
5,20026,21,00:01:41.0685800,0
5,20030,25,00:01:32.0016032,0
5,20030,25,00:01:35.6000198,0
5,20034,29,00:02:38.4259397,0
5,20040,35,00:01:55.2794771,0
5,20023,18,00:01:39.1907628,0
5,20037,32,00:02:08.6878650,0
5,20035,30,00:01:55.4660878,0
5,20035,30,00:01:46.6370324,0
5,20029,24,00:02:07.2925442,0
5,20044,39,00:02:23.4023510,0
5,20032,27,00:01:53.9347606,0
5,20025,20,00:01:48.6967919,0
5,20032,27,00:01:42.5613207,0
5,20038,33,00:02:06.1859826,0
5,20037,32,00:02:15.4598656,0
5,20038,33,00:01:45.7928066,0
5,20042,37,00:02:19.5631641,0
5,20042,37,00:02:02.6197310,0
5,20037,32,00:02:08.0109077,0
5,20047,42,00:02:35.7874953,0
5,20042,37,00:02:12.5586790,0
5,20035,30,00:01:39.8020711,0
5,20031,26,00:02:17.6186083,0
5,20033,28,00:01:47.0779362,0
