Text is being written
100 search attempts were made, on average the following data:
Success,RRTs,Nodes,NodesRej,RRTs2,Nodes2,NodesRej2,Time,RRTsF,NodesF,NodesRejF,RRTs2F,Nodes2F,NodesRej2F,TimeF,
0.45,3.2,10086.9555555556,16.2222222222222,5,19924.0444444444,0.8,45.2643763155556,5,20036.0363636364,31.0363636363636,0,0,0,20.34581206
--------------------------
t1,n1,r1,t2,n2,r2,time,success
5,20031,26,0,0,0,00:00:20.3981826,0
4,14682,20,5,20005,0,00:00:51.8227866,1
2,5172,5,5,20005,0,00:00:31.0289241,1
5,20037,32,0,0,0,00:00:18.4893112,0
5,20043,38,0,0,0,00:00:19.5878124,0
5,20036,31,0,0,0,00:00:18.2973107,0
4,13007,27,5,20009,4,00:00:44.6770846,1
5,20041,36,0,0,0,00:00:20.4323405,0
3,9325,10,5,20005,0,00:00:50.7599734,1
5,18292,20,5,20005,0,00:00:52.8941609,1
3,8232,9,5,20005,0,00:00:37.2482993,1
5,17143,34,5,20005,0,00:00:58.7558575,1
3,8578,6,5,20005,0,00:00:43.5847799,1
5,20028,23,0,0,0,00:00:20.5108867,0
5,20019,14,0,0,0,00:00:18.6892699,0
5,20036,31,0,0,0,00:00:20.1195205,0
3,9041,13,5,20009,4,00:00:41.3144165,1
5,20039,34,0,0,0,00:00:18.8884499,0
4,14541,25,5,20005,0,00:00:50.5019477,1
5,20038,33,0,0,0,00:00:19.7620747,0
3,8897,12,5,16326,0,00:00:41.2688934,1
5,20040,35,0,0,0,00:00:19.5924220,0
5,20044,39,0,0,0,00:00:18.6087128,0
3,8987,14,5,20005,0,00:00:40.3833725,1
5,20039,34,0,0,0,00:00:21.3347598,0
5,16220,20,5,20005,0,00:00:53.9072557,1
5,20030,25,0,0,0,00:00:20.0082003,0
5,20048,43,0,0,0,00:00:20.2166821,0
1,375,0,5,20005,0,00:00:34.9662617,1
5,20041,36,0,0,0,00:00:24.0711222,0
3,8677,11,5,20005,0,00:00:47.4353485,1
4,12336,29,5,20005,0,00:00:50.1087002,1
2,7538,4,5,20009,4,00:00:33.7366607,1
5,20050,45,0,0,0,00:00:18.7472148,0
5,19297,31,5,20006,1,00:00:46.6854876,1
3,9036,14,5,20005,0,00:00:49.1835331,1
5,20031,26,0,0,0,00:00:20.4453120,0
4,12487,25,5,20005,0,00:00:49.3500028,1
5,20033,28,0,0,0,00:00:20.8621068,0
5,20033,28,0,0,0,00:00:19.6764600,0
4,12453,18,5,20006,1,00:00:59.0014720,1
5,20032,27,0,0,0,00:00:20.7316798,0
5,20030,25,0,0,0,00:00:19.6336902,0
5,20029,24,0,0,0,00:00:19.6609372,0
3,8100,10,5,20005,0,00:00:48.6331628,1
5,20045,40,0,0,0,00:00:19.5655945,0
2,4313,5,5,20005,0,00:00:39.3722184,1
1,1402,0,5,20007,2,00:00:34.7875274,1
5,20034,29,0,0,0,00:00:21.3440781,0
5,20049,44,0,0,0,00:00:20.8756333,0
5,20031,26,0,0,0,00:00:19.9825102,0
5,20026,21,0,0,0,00:00:18.2454829,0
3,8165,17,5,20005,0,00:00:49.6242988,1
5,20040,35,0,0,0,00:00:19.8536188,0
5,20030,25,0,0,0,00:00:21.2640144,0
5,20026,21,0,0,0,00:00:22.5281047,0
2,5206,7,5,20005,0,00:00:40.2650080,1
5,20037,32,0,0,0,00:00:21.4523259,0
5,16314,30,5,20008,3,00:00:53.4224257,1
5,20037,32,0,0,0,00:00:19.7142205,0
4,12335,19,5,20006,1,00:00:43.2941371,1
4,13447,24,5,20005,0,00:00:45.6855164,1
1,537,0,5,20005,0,00:00:36.7055709,1
5,17052,38,5,20006,1,00:00:52.5742183,1
1,1762,3,5,20005,0,00:00:32.4507362,1
5,17070,24,5,20008,3,00:00:59.9411966,1
2,7214,18,5,20007,2,00:00:39.6802672,1
5,20029,24,0,0,0,00:00:21.3473662,0
5,20035,30,0,0,0,00:00:21.6127345,0
5,20050,45,0,0,0,00:00:21.0615273,0
5,20037,32,0,0,0,00:00:25.4198111,0
1,2215,2,5,20007,2,00:00:44.0206993,1
3,8627,14,5,20007,2,00:00:50.8958656,1
3,10747,20,5,20005,0,00:00:43.8990574,1
5,20036,31,0,0,0,00:00:20.4980503,0
2,6803,11,5,20007,2,00:00:37.6604497,1
5,20035,30,0,0,0,00:00:19.2879904,0
3,9435,21,5,20005,0,00:00:40.7849444,1
5,20032,27,0,0,0,00:00:18.0500658,0
5,20041,36,0,0,0,00:00:20.5569277,0
5,20031,26,0,0,0,00:00:19.8574454,0
5,20037,32,0,0,0,00:00:21.5159747,0
5,20037,32,0,0,0,00:00:20.9486281,0
5,20026,21,0,0,0,00:00:19.9283709,0
2,4251,5,5,20006,1,00:00:39.9005218,1
5,20032,27,0,0,0,00:00:20.2513254,0
5,19274,39,5,20005,0,00:00:44.7142110,1
5,20038,33,0,0,0,00:00:19.6727827,0
5,20041,36,0,0,0,00:00:23.2455492,0
5,19523,40,5,20008,3,00:01:02.9772160,1
5,20041,36,0,0,0,00:00:20.1641230,0
1,154,0,5,20005,0,00:00:32.5571943,1
4,13360,20,5,20005,0,00:00:43.3833587,1
5,20027,22,0,0,0,00:00:19.8017337,0
5,20035,30,0,0,0,00:00:21.4955705,0
5,20042,37,0,0,0,00:00:20.0230032,0
5,20048,43,0,0,0,00:00:20.3773657,0
5,20034,29,0,0,0,00:00:19.4573570,0
4,12291,16,5,20005,0,00:00:51.0519135,1
5,20035,30,0,0,0,00:00:20.8559181,0
